Protein	Similarity_Drug_vs_Control	pValue	FDR	Fold-change 	Fold-change 
Y32F6A.5b	0.8744038439282251	0.9642319649277596	0.9995692703162754	0.054777550290755095	false
K08H10.1p	0.9103704389534042	0.45533348272631446	0.9995692703162754	5.748042700787498E-4	false
T25G12.7	0.7478920094574293	0.8846923536747925	0.9995692703162754	0.10454526094606081	false
K08H10.1o	0.922346351716859	0.8856019976611771	0.9995692703162754	0.010788532133186772	false
K08H10.1n	0.9171956254693513	0.7036416479006677	0.9995692703162754	0.00819533289001852	false
T25G12.5	0.9272138687396456	0.09034985712820043	0.9370904325032765	0.006758583449812517	false
Y119D3B.17	N/A	N/A	N/A	N/A	false
K08H10.1m	0.9184918713566605	0.7935391918018737	0.9995692703162754	0.014054513467104051	false
T25G12.4	0.7627740029274284	0.12596470758105657	0.9995692703162754	0.04038912821633824	false
Y119D3B.16	N/A	N/A	N/A	N/A	false
ZC434.7b	N/A	N/A	N/A	N/A	false
K08H10.1l	0.9235915074208848	0.8856019976611771	0.9995692703162754	0.01033317060569761	false
Y119D3B.15	N/A	N/A	N/A	N/A	false
K08H10.1k	0.9231847279944944	0.8856019976611771	0.9995692703162754	0.010455944757685116	false
B0272.4	N/A	N/A	N/A	N/A	false
K08H10.1j	0.9177444379892088	0.7036416479006677	0.9995692703162754	0.007488471687313713	false
B0272.3	0.8281730525574152	0.7703120571797335	0.9995692703162754	0.028078982962416767	false
K08H10.1i	0.917898138418446	0.7036416479006677	0.9995692703162754	0.007372879009252519	false
K08H10.1h	0.9194559395905945	0.7714610469391429	0.9995692703162754	0.013951847146567714	false
K08E3.4	0.760146540155155	0.9972545003063557	0.9995692703162754	0.13786616535652474	false
B0272.1	0.9207843851095947	0.9756359398003147	0.9995692703162754	0.026167974940896236	false
K08H10.1g	0.9198604322376718	0.7714610469391429	0.9995692703162754	0.013554679290347909	false
K08H10.1f	0.9223522278040085	0.8856019976611771	0.9995692703162754	0.010790465855030755	false
Y17G7A.1	0.7247378260702145	0.6588954424068176	0.9995692703162754	0.090054948103098	false
K08H10.1e	0.9150274519339109	0.8436144350801971	0.9995692703162754	0.007570923316278961	false
K08E3.1	N/A	N/A	N/A	N/A	false
K08H10.1d	0.902177238716948	0.09877919505809446	0.9492147720578498	0.021765297912465103	false
