ProteinID	CR1F1	CR1F2	CR1F3	CR1F4	CR1F5	CR1F6	CR1F7	CR1F8	CR1F9	CR1F10	DR1F1	DR1F2	DR1F3	DR1F4	DR1F5	DR1F6	DR1F7	DR1F8	DR1F9	DR1F10	CR2F1	CR2F2	CR2F3	CR2F4	CR2F5	CR2F6	CR2F7	CR2F8	CR2F9	CR2F10	DR2F1	DR2F2	DR2F3	DR2F4	DR2F5	DR2F6	DR2F7	DR2F8	DR2F9	DR2F10	CR3F1	CR3F2	CR3F3	CR3F4	CR3F5	CR3F6	CR3F7	CR3F8	CR3F9	CR3F10	DR3F1	DR3F2	DR3F3	DR3F4	DR3F5	DR3F6	DR3F7	DR3F8	DR3F9	DR3F10	CR4F1	CR4F2	CR4F3	CR4F4	CR4F5	CR4F6	CR4F7	CR4F8	CR4F9	CR4F10
Y37E3.11a	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
T18D3.4	101	233	251	47	0	0	0	0	0	0	132	148	251	67	0	0	0	0	0	2	180	83	326	69	0	0	0	0	0	2	143	89	245	74	2	0	0	0	0	2	198	123	433	185	0	2	0	0	0	0	197	97	354	189	4	0	0	0	0	0	246	54	312	157	17	0	0	0	0	0
F14F4.3b	3	0	3	3	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	2	3	6	0	0	0	0	0	0	0	0	3	4	2	0	0	0	0	0	0	3	3	0	4	0	0	0	0	0	0	2	3	2	2	0	0	0	0	0	0	3	3	8	6	0	0	0	0	0	0
F19F10.3	0	0	0	0	0	2	11	0	0	0	0	0	0	0	0	3	10	0	0	0	0	0	0	0	0	3	11	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	0	0	0	10	2	2	0	0	0	0	0	0	2	10	0	0	0
F14F4.3a	3	0	3	3	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	2	3	5	0	0	0	0	0	0	0	0	3	3	2	0	0	0	0	0	0	3	3	0	4	0	0	0	0	0	0	2	3	2	2	0	0	0	0	0	0	3	3	8	6	0	0	0	0	0	0
Y53F4B.18	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	4	2	9	0	5	0	0	0	0
C05D11.1	0	0	3	9	40	3	0	0	0	0	0	0	0	13	35	4	0	0	0	0	0	0	0	5	46	3	0	0	0	0	0	0	0	6	40	2	0	0	0	0	0	0	0	4	47	20	0	0	0	0	0	2	2	7	58	10	0	0	0	0	0	0	5	13	8	38	5	0	0	0
C47B2.9	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	3	0	0	0	0	0	0	0	2	7	2	0	0	0	0	0	0	0	0	8	0	0	0
W08E12.7	29	18	43	62	101	53	7	4	0	3	38	31	38	70	98	40	4	3	0	2	39	36	42	71	100	38	5	0	0	3	34	25	35	68	100	24	0	0	0	0	33	39	27	56	119	72	7	2	0	0	36	43	39	60	130	56	10	3	0	2	29	37	42	44	36	73	15	0	0	0
R05F9.6	53	30	15	3	0	0	0	0	0	0	61	34	12	0	0	0	0	0	0	0	62	42	25	0	0	0	0	0	0	0	57	42	17	2	0	0	0	0	0	0	66	48	21	11	0	0	0	0	0	0	67	52	23	8	0	0	0	0	0	0	53	50	49	18	0	0	0	0	0	0
R05F9.8	2	7	3	5	12	11	54	79	65	32	0	10	4	8	7	18	96	81	68	20	4	8	4	8	7	20	77	80	50	16	2	6	3	9	8	30	58	91	57	12	3	14	10	7	6	13	41	117	93	19	4	14	10	8	8	17	51	97	98	24	2	6	10	4	34	19	73	98	42	11
T14G8.3a	0	0	0	0	13	26	2	0	0	0	0	0	0	0	12	26	2	0	0	0	0	0	0	0	9	14	0	0	0	0	0	0	0	3	13	18	0	0	0	0	0	0	0	0	5	40	8	0	0	0	0	0	0	0	7	31	7	0	0	0	0	0	0	4	4	33	9	0	0	0
R05F9.3	2	7	3	5	12	11	68	102	96	69	0	10	4	8	7	18	97	91	87	45	4	8	4	8	7	20	171	147	62	63	2	6	3	9	8	32	92	103	65	22	3	14	10	7	6	13	64	245	217	232	4	14	10	8	8	17	54	120	247	179	2	6	10	4	40	19	212	269	214	87
